,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
492,COPD Polymyalgia Rheumatica,COPD,Polymyalgia Rheumatica,1.1,1.08,1.13,<0.0001,0.54,0.46,<0.0001,<0.0001,0
493,Chronic kidney disease Irritable bowel syndrome,Chronic kidney disease,Irritable bowel syndrome,1.1,1.09,1.12,<0.0001,5.81,0.02,<0.0001,<0.0001,0
494,Retinal detachments and breaks Thromboembolic,Retinal detachments and breaks,Thromboembolic,1.1,1.06,1.15,<0.0001,0.15,0.69,<0.0001,<0.0001,0
495,Tendon disorders Hypertension,Tendon disorders,Hypertension,1.1,1.1,1.11,<0.0001,4.85,0.03,<0.0001,<0.0001,0
496,All stroke Ulcerative colitis,All stroke,Ulcerative colitis,1.1,1.05,1.16,<0.0001,0.37,0.54,<0.0001,<0.0001,0
497,Psoriasis All stroke,Psoriasis,All stroke,1.1,1.08,1.13,<0.0001,1.45,0.23,<0.0001,<0.0001,0
498,Glaucoma Polymyalgia Rheumatica,Glaucoma,Polymyalgia Rheumatica,1.11,1.08,1.13,<0.0001,1.09,0.3,<0.0001,<0.0001,0
499,Primary Malignancy_Prostate Ulcerative colitis,Primary Malignancy_Prostate,Ulcerative colitis,1.11,1.04,1.18,<0.0001,4.37,0.04,<0.0001,<0.0001,0
500,"Schizophrenia, schizotypal and delusional disorders Peptic ulcer disease","Schizophrenia, schizotypal and delusional disorders",Peptic ulcer disease,1.11,1.04,1.18,<0.0001,3.8,0.05,<0.0001,<0.0001,0
501,Essential tremor Primary Malignancy_Breast,Essential tremor,Primary Malignancy_Breast,1.11,1.05,1.17,<0.0001,0.63,0.43,<0.0001,<0.0001,0
502,Retinal detachments and breaks Primary Malignancy_Breast,Retinal detachments and breaks,Primary Malignancy_Breast,1.11,1.05,1.17,<0.0001,0.89,0.35,<0.0001,<0.0001,0
503,Glaucoma Asthma,Glaucoma,Asthma,1.11,1.09,1.12,<0.0001,4.22,0.04,<0.0001,<0.0001,0
504,Primary Malignancy_Colorectal Urinary Incontinence,Primary Malignancy_Colorectal,Urinary Incontinence,1.11,1.08,1.14,<0.0001,8.89,<0.0001,<0.0001,<0.0001,0
505,Hypertension Enthesopathies of the upper body,Hypertension,Enthesopathies of the upper body,1.11,1.1,1.12,<0.0001,0.1,0.75,<0.0001,<0.0001,0
506,All stroke Enthesopathies of the shoulder,All stroke,Enthesopathies of the shoulder,1.11,1.09,1.13,<0.0001,15.72,<0.0001,<0.0001,<0.0001,0
507,Glaucoma Insomnia,Glaucoma,Insomnia,1.11,1.1,1.12,<0.0001,1.6,0.21,<0.0001,<0.0001,0
508,Polymyalgia Rheumatica Primary Malignancy_Bladder,Polymyalgia Rheumatica,Primary Malignancy_Bladder,1.11,1.04,1.18,<0.0001,4.65,0.03,<0.0001,<0.0001,0
509,Hyperthyroidism (without hypo) Hearing loss,Hyperthyroidism (without hypo),Hearing loss,1.11,1.09,1.13,<0.0001,0.38,0.54,<0.0001,<0.0001,0
510,Gout Primary Malignancy_Breast,Gout,Primary Malignancy_Breast,1.11,1.08,1.14,<0.0001,0.19,0.66,<0.0001,<0.0001,0
511,Ulcerative colitis Nonrheumatic valve disease,Ulcerative colitis,Nonrheumatic valve disease,1.11,1.05,1.17,<0.0001,0.06,0.81,<0.0001,<0.0001,0
512,Tendon disorders COPD,Tendon disorders,COPD,1.11,1.1,1.12,<0.0001,2.05,0.15,<0.0001,<0.0001,0
513,Gastro-oesophageal reflux disease Primary Malignancy_Bladder,Gastro-oesophageal reflux disease,Primary Malignancy_Bladder,1.11,1.08,1.14,<0.0001,6.24,0.01,<0.0001,<0.0001,0
514,Fibromyalgia Atrial fibrillation,Fibromyalgia,Atrial fibrillation,1.11,1.07,1.15,<0.0001,40.65,<0.0001,<0.0001,<0.0001,0
515,Glaucoma Diverticular disease of intestine (acute and chronic),Glaucoma,Diverticular disease of intestine (acute and chronic),1.11,1.1,1.13,<0.0001,7.06,0.01,<0.0001,<0.0001,0
516,Glaucoma Obesity,Glaucoma,Obesity,1.11,1.1,1.12,<0.0001,21.37,<0.0001,<0.0001,<0.0001,0
517,Abdominal aortic aneurysm Enthesopathies of the upper body,Abdominal aortic aneurysm,Enthesopathies of the upper body,1.11,1.08,1.14,<0.0001,23.04,<0.0001,<0.0001,<0.0001,0
518,Anxiety disorders Primary Malignancy_Other Skin and subcutaneous tissue,Anxiety disorders,Primary Malignancy_Other Skin and subcutaneous tissue,1.11,1.1,1.12,<0.0001,2.62,0.11,<0.0001,<0.0001,0
519,Vitamin B12 deficiency anaemia Glaucoma,Vitamin B12 deficiency anaemia,Glaucoma,1.11,1.09,1.14,<0.0001,2.3,0.13,<0.0001,<0.0001,0
520,Tendon disorders Chronic kidney disease,Tendon disorders,Chronic kidney disease,1.11,1.1,1.12,<0.0001,65.52,<0.0001,<0.0001,<0.0001,0
521,Carpal tunnel syndrome Glaucoma,Carpal tunnel syndrome,Glaucoma,1.11,1.1,1.13,<0.0001,37.27,<0.0001,<0.0001,<0.0001,0
522,Tinnitus Rheumatoid Arthritis,Tinnitus,Rheumatoid Arthritis,1.11,1.08,1.15,<0.0001,0,0.98,<0.0001,<0.0001,0
523,Carpal tunnel syndrome Primary Malignancy_Other Skin and subcutaneous tissue,Carpal tunnel syndrome,Primary Malignancy_Other Skin and subcutaneous tissue,1.11,1.1,1.13,<0.0001,5.98,0.01,<0.0001,<0.0001,0
524,Vitamin B12 deficiency anaemia Migraine,Vitamin B12 deficiency anaemia,Migraine,1.11,1.09,1.14,<0.0001,6.37,0.01,<0.0001,<0.0001,0
525,Hypertension Enthesopathies of the shoulder,Hypertension,Enthesopathies of the shoulder,1.11,1.11,1.12,<0.0001,3.18,0.07,<0.0001,<0.0001,0
526,Enthesopathies of the lower body Primary Malignancy_Bladder,Enthesopathies of the lower body,Primary Malignancy_Bladder,1.12,1.08,1.16,<0.0001,9.7,<0.0001,<0.0001,<0.0001,0
527,Allergic and chronic rhinitis Coronary Heart Disease,Allergic and chronic rhinitis,Coronary Heart Disease,1.12,1.11,1.13,<0.0001,168.24,<0.0001,<0.0001,<0.0001,0
528,Chronic kidney disease Enthesopathies of the shoulder,Chronic kidney disease,Enthesopathies of the shoulder,1.12,1.11,1.13,<0.0001,191.73,<0.0001,<0.0001,<0.0001,0
529,Primary Malignancy_Prostate Asthma,Primary Malignancy_Prostate,Asthma,1.12,1.09,1.14,<0.0001,0.06,0.81,<0.0001,<0.0001,0
530,Carpal tunnel syndrome All stroke,Carpal tunnel syndrome,All stroke,1.12,1.1,1.14,<0.0001,1.6,0.21,<0.0001,<0.0001,0
531,Sleep apnoea Primary Malignancy_Other Skin and subcutaneous tissue,Sleep apnoea,Primary Malignancy_Other Skin and subcutaneous tissue,1.12,1.09,1.15,<0.0001,0.48,0.49,<0.0001,<0.0001,0
532,Hyperthyroidism (without hypo) Female genital prolapse,Hyperthyroidism (without hypo),Female genital prolapse,1.12,1.09,1.15,<0.0001,1.24,0.27,<0.0001,<0.0001,0
533,Glaucoma Ischaemic stroke and TIA,Glaucoma,Ischaemic stroke and TIA,1.12,1.1,1.14,<0.0001,5.37,0.02,<0.0001,<0.0001,0
534,Glaucoma Hearing loss,Glaucoma,Hearing loss,1.12,1.11,1.13,<0.0001,0.01,0.92,<0.0001,<0.0001,0
535,Glaucoma Osteoarthritis (excl spine),Glaucoma,Osteoarthritis (excl spine),1.12,1.11,1.13,<0.0001,34.58,<0.0001,<0.0001,<0.0001,0
536,Sleep apnoea Alcohol Problems,Sleep apnoea,Alcohol Problems,1.12,1.09,1.15,<0.0001,0.37,0.54,<0.0001,<0.0001,0
537,"Essential tremor Schizophrenia, schizotypal and delusional disorders",Essential tremor,"Schizophrenia, schizotypal and delusional disorders",1.12,1,1.25,0.05,1.13,0.29,0.05,0.05,0
538,Primary Malignancy_Prostate Iron deficiency anaemia,Primary Malignancy_Prostate,Iron deficiency anaemia,1.12,1.09,1.15,<0.0001,0.02,0.88,<0.0001,<0.0001,0
539,Thromboembolic Hearing loss,Thromboembolic,Hearing loss,1.12,1.1,1.13,<0.0001,50.03,<0.0001,<0.0001,<0.0001,0
540,Glaucoma Gastro-oesophageal reflux disease,Glaucoma,Gastro-oesophageal reflux disease,1.12,1.1,1.13,<0.0001,37.89,<0.0001,<0.0001,<0.0001,0
541,Irritable bowel syndrome Primary Malignancy_Bladder,Irritable bowel syndrome,Primary Malignancy_Bladder,1.12,1.06,1.18,<0.0001,3.96,0.05,<0.0001,<0.0001,0
542,Hearing loss Alcohol Problems,Hearing loss,Alcohol Problems,1.12,1.1,1.13,<0.0001,5.88,0.02,<0.0001,<0.0001,0
543,Hyperthyroidism (without hypo) Tendon disorders,Hyperthyroidism (without hypo),Tendon disorders,1.12,1.1,1.14,<0.0001,2.97,0.08,<0.0001,<0.0001,0
544,Ulcerative colitis Cataract,Ulcerative colitis,Cataract,1.12,1.09,1.15,<0.0001,0.02,0.88,<0.0001,<0.0001,0
545,Cataract Primary Malignancy_Bladder,Cataract,Primary Malignancy_Bladder,1.12,1.09,1.15,<0.0001,0.25,0.62,<0.0001,<0.0001,0
546,Insomnia Primary Malignancy_Colorectal,Insomnia,Primary Malignancy_Colorectal,1.12,1.09,1.14,<0.0001,15.88,<0.0001,<0.0001,<0.0001,0
547,Depression Primary Malignancy_Breast,Depression,Primary Malignancy_Breast,1.12,1.1,1.13,<0.0001,2.84,0.09,<0.0001,<0.0001,0
548,Vitamin B12 deficiency anaemia Enthesopathies of the lower body,Vitamin B12 deficiency anaemia,Enthesopathies of the lower body,1.12,1.1,1.14,<0.0001,11.09,<0.0001,<0.0001,<0.0001,0
549,Cholelithiasis Primary Malignancy_Other Skin and subcutaneous tissue,Cholelithiasis,Primary Malignancy_Other Skin and subcutaneous tissue,1.12,1.1,1.14,<0.0001,0.85,0.36,<0.0001,<0.0001,0
550,Retinal detachments and breaks Atrial fibrillation,Retinal detachments and breaks,Atrial fibrillation,1.12,1.09,1.15,<0.0001,2.13,0.14,<0.0001,<0.0001,0
551,Transient ischaemic attack Ulcerative colitis,Transient ischaemic attack,Ulcerative colitis,1.12,1.06,1.18,<0.0001,2.27,0.13,<0.0001,<0.0001,0
552,Hyperthyroidism (without hypo) Tinnitus,Hyperthyroidism (without hypo),Tinnitus,1.12,1.09,1.15,<0.0001,12.09,<0.0001,<0.0001,<0.0001,0
553,Primary Malignancy_Prostate Hypertension,Primary Malignancy_Prostate,Hypertension,1.12,1.11,1.13,<0.0001,0.66,0.42,<0.0001,<0.0001,0
554,Essential tremor Hypertension,Essential tremor,Hypertension,1.12,1.1,1.15,<0.0001,1.03,0.31,<0.0001,<0.0001,0
555,Osteoarthritis (excl spine) All stroke,Osteoarthritis (excl spine),All stroke,1.12,1.11,1.13,<0.0001,24.71,<0.0001,<0.0001,<0.0001,0
556,Ulcerative colitis Diabetes type 2,Ulcerative colitis,Diabetes type 2,1.12,1.09,1.15,<0.0001,44.82,<0.0001,<0.0001,<0.0001,0
557,Fibromatoses Primary Malignancy_Breast,Fibromatoses,Primary Malignancy_Breast,1.12,1.08,1.17,<0.0001,12.54,<0.0001,<0.0001,<0.0001,0
558,Alcohol Problems Nonrheumatic valve disease,Alcohol Problems,Nonrheumatic valve disease,1.12,1.09,1.15,<0.0001,50.22,<0.0001,<0.0001,<0.0001,0
559,Primary Malignancy_Bladder Hearing loss,Primary Malignancy_Bladder,Hearing loss,1.12,1.1,1.15,<0.0001,29.75,<0.0001,<0.0001,<0.0001,0
560,Fibromyalgia Retinal detachments and breaks,Fibromyalgia,Retinal detachments and breaks,1.12,1.03,1.22,0.01,8.82,<0.0001,0.01,0.01,0
561,Hyperplasia of prostate Abdominal aortic aneurysm,Hyperplasia of prostate,Abdominal aortic aneurysm,1.12,1.09,1.16,<0.0001,3.06,0.08,<0.0001,<0.0001,0
562,Scoliosis Ischaemic stroke and TIA,Scoliosis,Ischaemic stroke and TIA,1.12,1.08,1.16,<0.0001,8.97,<0.0001,<0.0001,<0.0001,0
563,Ulcerative colitis Glaucoma,Ulcerative colitis,Glaucoma,1.12,1.07,1.18,<0.0001,4.8,0.03,<0.0001,<0.0001,0
564,Carpal tunnel syndrome Atrial fibrillation,Carpal tunnel syndrome,Atrial fibrillation,1.12,1.11,1.14,<0.0001,94.74,<0.0001,<0.0001,<0.0001,0
565,Ischaemic stroke and TIA Ulcerative colitis,Ischaemic stroke and TIA,Ulcerative colitis,1.12,1.07,1.18,<0.0001,0.91,0.34,<0.0001,<0.0001,0
566,Hypothyroidism (without hyper) Cataract,Hypothyroidism (without hyper),Cataract,1.12,1.11,1.14,<0.0001,67.13,<0.0001,<0.0001,<0.0001,0
567,Rheumatoid Arthritis Erectile dysfunction,Rheumatoid Arthritis,Erectile dysfunction,1.12,1.09,1.16,<0.0001,0.19,0.66,<0.0001,<0.0001,0
568,Erectile dysfunction Scoliosis,Erectile dysfunction,Scoliosis,1.12,1.07,1.18,<0.0001,0.64,0.43,<0.0001,<0.0001,0
569,Chronic sinusitis Primary Malignancy_Bladder,Chronic sinusitis,Primary Malignancy_Bladder,1.12,1.07,1.18,<0.0001,1.95,0.16,<0.0001,<0.0001,0
570,Insomnia Obesity,Insomnia,Obesity,1.13,1.12,1.13,<0.0001,1115.37,<0.0001,<0.0001,<0.0001,0
571,Hypothyroidism (without hyper) Tinnitus,Hypothyroidism (without hyper),Tinnitus,1.13,1.11,1.14,<0.0001,11.36,<0.0001,<0.0001,<0.0001,0
572,Atrial fibrillation Urolithiasis,Atrial fibrillation,Urolithiasis,1.13,1.11,1.15,<0.0001,102.26,<0.0001,<0.0001,<0.0001,0
573,Migraine Glaucoma,Migraine,Glaucoma,1.13,1.1,1.15,<0.0001,0.04,0.85,<0.0001,<0.0001,0
574,Fibromatoses Primary Malignancy_Colorectal,Fibromatoses,Primary Malignancy_Colorectal,1.13,1.08,1.17,<0.0001,2.33,0.13,<0.0001,<0.0001,0
575,Anxiety disorders Chronic kidney disease,Anxiety disorders,Chronic kidney disease,1.13,1.12,1.14,<0.0001,153.68,<0.0001,<0.0001,<0.0001,0
576,Chronic sinusitis Obesity,Chronic sinusitis,Obesity,1.13,1.11,1.14,<0.0001,124.95,<0.0001,<0.0001,<0.0001,0
577,Allergic and chronic rhinitis Obesity,Allergic and chronic rhinitis,Obesity,1.13,1.12,1.14,<0.0001,591.88,<0.0001,<0.0001,<0.0001,0
578,Atrial fibrillation Osteoporosis,Atrial fibrillation,Osteoporosis,1.13,1.11,1.14,<0.0001,110.16,<0.0001,<0.0001,<0.0001,0
579,Osteoarthritis (excl spine) Retinal detachments and breaks,Osteoarthritis (excl spine),Retinal detachments and breaks,1.13,1.11,1.15,<0.0001,8.53,<0.0001,<0.0001,<0.0001,0
580,Anxiety disorders Primary Malignancy_Bladder,Anxiety disorders,Primary Malignancy_Bladder,1.13,1.1,1.16,<0.0001,21.32,<0.0001,<0.0001,<0.0001,0
581,Psoriasis Atrial fibrillation,Psoriasis,Atrial fibrillation,1.13,1.11,1.15,<0.0001,7.4,0.01,<0.0001,<0.0001,0
582,Atrial fibrillation Hyperplasia of prostate,Atrial fibrillation,Hyperplasia of prostate,1.13,1.12,1.14,<0.0001,36.13,<0.0001,<0.0001,<0.0001,0
583,Glaucoma Peripheral arterial disease,Glaucoma,Peripheral arterial disease,1.13,1.1,1.15,<0.0001,28.74,<0.0001,<0.0001,<0.0001,0
584,Depression Primary Malignancy_Bladder,Depression,Primary Malignancy_Bladder,1.13,1.1,1.16,<0.0001,15.92,<0.0001,<0.0001,<0.0001,0
585,Primary Malignancy_Breast Cholelithiasis,Primary Malignancy_Breast,Cholelithiasis,1.13,1.11,1.15,<0.0001,7.18,0.01,<0.0001,<0.0001,0
586,Rheumatoid Arthritis Ischaemic stroke and TIA,Rheumatoid Arthritis,Ischaemic stroke and TIA,1.13,1.09,1.17,<0.0001,8.73,<0.0001,<0.0001,<0.0001,0
587,Coronary Heart Disease Osteoporosis,Coronary Heart Disease,Osteoporosis,1.13,1.12,1.14,<0.0001,96.59,<0.0001,<0.0001,<0.0001,0
588,Migraine Rheumatoid Arthritis,Migraine,Rheumatoid Arthritis,1.13,1.1,1.16,<0.0001,1.65,0.2,<0.0001,<0.0001,0
589,Tinnitus Glaucoma,Tinnitus,Glaucoma,1.13,1.11,1.15,<0.0001,0.14,0.71,<0.0001,<0.0001,0
590,Tendon disorders Primary Malignancy_Bladder,Tendon disorders,Primary Malignancy_Bladder,1.13,1.1,1.16,<0.0001,10.23,<0.0001,<0.0001,<0.0001,0
591,Hypertension Primary Malignancy_Bladder,Hypertension,Primary Malignancy_Bladder,1.13,1.11,1.16,<0.0001,0.13,0.72,<0.0001,<0.0001,0
592,Chronic kidney disease Enthesopathies of the upper body,Chronic kidney disease,Enthesopathies of the upper body,1.13,1.12,1.14,<0.0001,248.93,<0.0001,<0.0001,<0.0001,0
593,Hyperthyroidism (without hypo) Primary Malignancy_Breast,Hyperthyroidism (without hypo),Primary Malignancy_Breast,1.13,1.09,1.17,<0.0001,3.07,0.08,<0.0001,<0.0001,0
594,Primary Malignancy_Other Skin and subcutaneous tissue Ischaemic stroke and TIA,Primary Malignancy_Other Skin and subcutaneous tissue,Ischaemic stroke and TIA,1.13,1.11,1.15,<0.0001,0.71,0.4,<0.0001,<0.0001,0
595,Psoriasis Scoliosis,Psoriasis,Scoliosis,1.13,1.09,1.18,<0.0001,4.97,0.03,<0.0001,<0.0001,0
596,Psoriasis Osteoporosis,Psoriasis,Osteoporosis,1.13,1.11,1.15,<0.0001,3.08,0.08,<0.0001,<0.0001,0
597,Female genital prolapse Nonrheumatic valve disease,Female genital prolapse,Nonrheumatic valve disease,1.13,1.11,1.15,<0.0001,4.38,0.04,<0.0001,<0.0001,0
598,Primary Malignancy_Prostate Fibromatoses,Primary Malignancy_Prostate,Fibromatoses,1.13,1.1,1.17,<0.0001,30.49,<0.0001,<0.0001,<0.0001,0
599,Primary Malignancy_Prostate Tinnitus,Primary Malignancy_Prostate,Tinnitus,1.13,1.11,1.16,<0.0001,11.93,<0.0001,<0.0001,<0.0001,0
600,Hyperthyroidism (without hypo) Scoliosis,Hyperthyroidism (without hypo),Scoliosis,1.13,1.07,1.2,<0.0001,0.75,0.39,<0.0001,<0.0001,0
601,Enthesopathies of the shoulder Retinal detachments and breaks,Enthesopathies of the shoulder,Retinal detachments and breaks,1.13,1.1,1.17,<0.0001,2.17,0.14,<0.0001,<0.0001,0
602,Hyperplasia of prostate Ischaemic stroke and TIA,Hyperplasia of prostate,Ischaemic stroke and TIA,1.13,1.12,1.15,<0.0001,74.39,<0.0001,<0.0001,<0.0001,0
603,Allergic and chronic rhinitis Gout,Allergic and chronic rhinitis,Gout,1.13,1.12,1.15,<0.0001,95.24,<0.0001,<0.0001,<0.0001,0
604,Spondylosis Retinal detachments and breaks,Spondylosis,Retinal detachments and breaks,1.13,1.1,1.17,<0.0001,6.09,0.01,<0.0001,<0.0001,0
605,Gout Primary Malignancy_Bladder,Gout,Primary Malignancy_Bladder,1.14,1.1,1.17,<0.0001,7.09,0.01,<0.0001,<0.0001,0
606,Hypothyroidism (without hyper) Hypertension,Hypothyroidism (without hyper),Hypertension,1.14,1.13,1.14,<0.0001,519.95,<0.0001,<0.0001,<0.0001,0
607,Bursitis Hypothyroidism (without hyper),Bursitis,Hypothyroidism (without hyper),1.14,1.12,1.15,<0.0001,2.5,0.11,<0.0001,<0.0001,0
608,Abdominal aortic aneurysm Irritable bowel syndrome,Abdominal aortic aneurysm,Irritable bowel syndrome,1.14,1.07,1.21,<0.0001,0.03,0.87,<0.0001,<0.0001,0
609,Glaucoma Gastritis and duodeniti,Glaucoma,Gastritis and duodeniti,1.14,1.12,1.15,<0.0001,0.89,0.34,<0.0001,<0.0001,0
610,Fibromatoses Vitamin B12 deficiency anaemia,Fibromatoses,Vitamin B12 deficiency anaemia,1.14,1.1,1.17,<0.0001,1.76,0.18,<0.0001,<0.0001,0
611,Ulcerative colitis Sleep apnoea,Ulcerative colitis,Sleep apnoea,1.14,1.06,1.22,<0.0001,0.42,0.52,<0.0001,<0.0001,0
612,Ischaemic stroke and TIA Psoriasis,Ischaemic stroke and TIA,Psoriasis,1.14,1.11,1.16,<0.0001,0.17,0.68,<0.0001,<0.0001,0
613,Chronic kidney disease Enthesopathies of the lower body,Chronic kidney disease,Enthesopathies of the lower body,1.14,1.13,1.15,<0.0001,80.3,<0.0001,<0.0001,<0.0001,0
614,Insomnia Retinal detachments and breaks,Insomnia,Retinal detachments and breaks,1.14,1.1,1.17,<0.0001,0.01,0.92,<0.0001,<0.0001,0
615,Carpal tunnel syndrome Primary Malignancy_Prostate,Carpal tunnel syndrome,Primary Malignancy_Prostate,1.14,1.11,1.17,<0.0001,2.08,0.15,<0.0001,<0.0001,0
616,Psoriasis Hyperplasia of prostate,Psoriasis,Hyperplasia of prostate,1.14,1.12,1.16,<0.0001,6.43,0.01,<0.0001,<0.0001,0
617,Rheumatoid Arthritis Transient ischaemic attack,Rheumatoid Arthritis,Transient ischaemic attack,1.14,1.09,1.18,<0.0001,7.35,0.01,<0.0001,<0.0001,0
618,Hyperthyroidism (without hypo) Intervertebral disc disorders,Hyperthyroidism (without hypo),Intervertebral disc disorders,1.14,1.1,1.17,<0.0001,3.28,0.07,<0.0001,<0.0001,0
619,Osteoarthritis (excl spine) Primary Malignancy_Prostate,Osteoarthritis (excl spine),Primary Malignancy_Prostate,1.14,1.12,1.15,<0.0001,27.69,<0.0001,<0.0001,<0.0001,0
620,Essential tremor Hypothyroidism (without hyper),Essential tremor,Hypothyroidism (without hyper),1.14,1.1,1.18,<0.0001,13.95,<0.0001,<0.0001,<0.0001,0
621,Heart failure Scoliosis,Heart failure,Scoliosis,1.14,1.1,1.18,<0.0001,65.72,<0.0001,<0.0001,<0.0001,0
622,Anxiety disorders Retinal detachments and breaks,Anxiety disorders,Retinal detachments and breaks,1.14,1.11,1.17,<0.0001,4.98,0.03,<0.0001,<0.0001,0
623,Cholelithiasis Alcohol Problems,Cholelithiasis,Alcohol Problems,1.14,1.12,1.16,<0.0001,91.72,<0.0001,<0.0001,<0.0001,0
624,Primary Malignancy_Prostate Enthesopathies of the upper body,Primary Malignancy_Prostate,Enthesopathies of the upper body,1.14,1.12,1.16,<0.0001,48.69,<0.0001,<0.0001,<0.0001,0
625,Essential tremor Atrial fibrillation,Essential tremor,Atrial fibrillation,1.14,1.11,1.17,<0.0001,14.98,<0.0001,<0.0001,<0.0001,0
626,Rheumatoid Arthritis All stroke,Rheumatoid Arthritis,All stroke,1.14,1.1,1.18,<0.0001,2.66,0.1,<0.0001,<0.0001,0
627,Bursitis Ulcerative colitis,Bursitis,Ulcerative colitis,1.14,1.09,1.19,<0.0001,2.07,0.15,<0.0001,<0.0001,0
628,Gastritis and duodeniti Primary Malignancy_Prostate,Gastritis and duodeniti,Primary Malignancy_Prostate,1.14,1.11,1.17,<0.0001,8.97,<0.0001,<0.0001,<0.0001,0
629,Primary Malignancy_Breast Diverticular disease of intestine (acute and chronic),Primary Malignancy_Breast,Diverticular disease of intestine (acute and chronic),1.14,1.12,1.16,<0.0001,7.8,0.01,<0.0001,<0.0001,0
630,Scoliosis Abdominal aortic aneurysm,Scoliosis,Abdominal aortic aneurysm,1.14,1.03,1.27,0.01,4.48,0.03,0.01,0.01,0
631,Cholelithiasis Fibromatoses,Cholelithiasis,Fibromatoses,1.14,1.11,1.17,<0.0001,0.48,0.49,<0.0001,<0.0001,0
632,Allergic and chronic rhinitis Rheumatoid Arthritis,Allergic and chronic rhinitis,Rheumatoid Arthritis,1.14,1.12,1.17,<0.0001,8.93,<0.0001,<0.0001,<0.0001,0
633,Heart failure Enthesopathies of the lower body,Heart failure,Enthesopathies of the lower body,1.14,1.12,1.16,<0.0001,48.86,<0.0001,<0.0001,<0.0001,0
634,Thromboembolic Psoriasis,Thromboembolic,Psoriasis,1.14,1.11,1.17,<0.0001,7.4,0.01,<0.0001,<0.0001,0
635,Spondylosis Primary Malignancy_Bladder,Spondylosis,Primary Malignancy_Bladder,1.14,1.11,1.18,<0.0001,26.96,<0.0001,<0.0001,<0.0001,0
636,Gastro-oesophageal reflux disease Diabetes type 2,Gastro-oesophageal reflux disease,Diabetes type 2,1.14,1.13,1.15,<0.0001,102.95,<0.0001,<0.0001,<0.0001,0
637,Polymyalgia Rheumatica Ischaemic stroke and TIA,Polymyalgia Rheumatica,Ischaemic stroke and TIA,1.14,1.11,1.17,<0.0001,6.78,0.01,<0.0001,<0.0001,0
638,Psoriasis Urolithiasis,Psoriasis,Urolithiasis,1.14,1.11,1.17,<0.0001,5.12,0.02,<0.0001,<0.0001,0
639,Transient ischaemic attack Fibromatoses,Transient ischaemic attack,Fibromatoses,1.14,1.11,1.18,<0.0001,0.02,0.88,<0.0001,<0.0001,0
640,Primary Malignancy_Other Skin and subcutaneous tissue Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Primary Malignancy_Other Skin and subcutaneous tissue,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.14,1.12,1.16,<0.0001,7.3,0.01,<0.0001,<0.0001,0
641,Glaucoma Urolithiasis,Glaucoma,Urolithiasis,1.14,1.12,1.17,<0.0001,3.93,0.05,<0.0001,<0.0001,0
642,Enthesopathies of the shoulder Hypothyroidism (without hyper),Enthesopathies of the shoulder,Hypothyroidism (without hyper),1.14,1.13,1.16,<0.0001,38.94,<0.0001,<0.0001,<0.0001,0
643,Allergic and chronic rhinitis Transient ischaemic attack,Allergic and chronic rhinitis,Transient ischaemic attack,1.14,1.13,1.16,<0.0001,5.78,0.02,<0.0001,<0.0001,0
644,Ischaemic stroke and TIA Tinnitus,Ischaemic stroke and TIA,Tinnitus,1.14,1.12,1.16,<0.0001,13.86,<0.0001,<0.0001,<0.0001,0
645,All stroke Asthma,All stroke,Asthma,1.14,1.13,1.16,<0.0001,23.47,<0.0001,<0.0001,<0.0001,0
646,Obesity Hearing loss,Obesity,Hearing loss,1.14,1.14,1.15,<0.0001,88.99,<0.0001,<0.0001,<0.0001,0
647,Bursitis Chronic kidney disease,Bursitis,Chronic kidney disease,1.15,1.13,1.16,<0.0001,28.45,<0.0001,<0.0001,<0.0001,0
648,Ischaemic stroke and TIA Retinal detachments and breaks,Ischaemic stroke and TIA,Retinal detachments and breaks,1.15,1.1,1.19,<0.0001,0.16,0.69,<0.0001,<0.0001,0
649,Osteoarthritis (excl spine) Abdominal aortic aneurysm,Osteoarthritis (excl spine),Abdominal aortic aneurysm,1.15,1.12,1.18,<0.0001,8.45,<0.0001,<0.0001,<0.0001,0
650,Primary Malignancy_Other Skin and subcutaneous tissue Scoliosis,Primary Malignancy_Other Skin and subcutaneous tissue,Scoliosis,1.15,1.11,1.18,<0.0001,0.06,0.81,<0.0001,<0.0001,0
651,Hyperplasia of prostate Coronary Heart Disease,Hyperplasia of prostate,Coronary Heart Disease,1.15,1.13,1.16,<0.0001,144.72,<0.0001,<0.0001,<0.0001,0
652,Atrial fibrillation Depression,Atrial fibrillation,Depression,1.15,1.14,1.16,<0.0001,39.53,<0.0001,<0.0001,<0.0001,0
653,Intervertebral disc disorders Hypothyroidism (without hyper),Intervertebral disc disorders,Hypothyroidism (without hyper),1.15,1.13,1.16,<0.0001,4.46,0.03,<0.0001,<0.0001,0
654,Urolithiasis Polymyalgia Rheumatica,Urolithiasis,Polymyalgia Rheumatica,1.15,1.1,1.19,<0.0001,0.02,0.89,<0.0001,<0.0001,0
655,Thromboembolic Cataract,Thromboembolic,Cataract,1.15,1.13,1.16,<0.0001,32.82,<0.0001,<0.0001,<0.0001,0
