"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"547","Peptic ulcer disease","Carpal tunnel syndrome",0.31,0.24,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the nervous system","1, 2","1, 2",0
"548","Allergic and chronic rhinitis","Gastritis and duodeniti",0.31,0.23,0.4,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1, 2","1",0
"549","COPD","All stroke",0.31,0.23,0.4,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","1, 2",0
"550","Asthma","Depression",0.31,0.26,0.36,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Mental and behavioural disorders","2, 3","3",0
"551","Polymyalgia Rheumatica","Enthesopathies of the lower body",0.31,0.11,0.51,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"552","Polymyalgia Rheumatica","Spondylolisthesis",0.31,0.07,0.55,0.12,"0.01","0.02","0.02","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"553","Urinary Incontinence","Migraine",0.31,0.24,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the nervous system","1","1, 2, 3",0
"554","Ischaemic stroke and TIA","Enthesopathies of the shoulder",0.31,0.2,0.42,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"555","Anxiety disorders","Diabetes type 2",0.1,0.05,0.15,0.02,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Endocrine, nutritional and metabolic diseases","1, 2","2, 3",0
"556","Enthesopathies of the shoulder","Rheumatoid Arthritis",0.31,0.24,0.39,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","3",1
"557","Enthesopathies of the lower body","COPD",0.31,0.21,0.41,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the respiratory system","1, 2","1, 2",0
"558","Peptic ulcer disease","Cholelithiasis",0.31,0.22,0.4,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","1, 2","1, 2",1
"559","Vitamin B12 deficiency anaemia","Tendon disorders",0.31,0.17,0.45,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"560","Depression","Enthesopathies of the shoulder",0.31,0.26,0.36,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","3","1, 2",0
"561","Transient ischaemic attack","COPD",0.31,0.21,0.4,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the respiratory system","1, 2","1, 2",0
"562","Heart failure","Gastro-oesophageal reflux disease",0.31,0.26,0.36,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","2, 3","2, 3",0
"563","Asthma","Spondylolisthesis",0.21,0.1,0.32,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"564","Abdominal aortic aneurysm","Obesity",0.31,0.24,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"565","COPD","Spondylolisthesis",0.31,0.18,0.44,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"566","Gastritis and duodeniti","Diabetes type 2",0.31,0.25,0.36,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Endocrine, nutritional and metabolic diseases","1","2, 3",0
"567","Anxiety disorders","Enthesopathies of the upper body",0.31,0.23,0.38,0.04,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"568","Gout","Erectile dysfunction",0.31,0.2,0.41,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1, 2, 3","1",0
"569","Urinary Incontinence","Asthma",0.31,0.24,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the respiratory system","1","2, 3",0
"570","Anxiety disorders","Asthma",0.31,0.25,0.37,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the respiratory system","1, 2","2, 3",0
"571","Hearing loss","Depression",0.31,0.26,0.35,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the ear and mastoid process","Mental and behavioural disorders","3","3",0
"572","Gastro-oesophageal reflux disease","All stroke",0.31,0.24,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","2, 3","1, 2",0
"573","Intervertebral disc disorders","Asthma",0.31,0.25,0.36,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the respiratory system","1, 2","2, 3",0
"574","Abdominal aortic aneurysm","COPD",0.31,0.2,0.41,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the respiratory system","1, 2","1, 2",0
"575","Asthma","Polymyalgia Rheumatica",0.14,0.02,0.26,0.06,"0.02","0.03","0.03","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"576","Tendon disorders","Anxiety disorders",0.3,0.24,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1, 2","1, 2",0
"577","Abdominal aortic aneurysm","Enthesopathies of the lower body",0.3,0.17,0.44,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"578","Carpal tunnel syndrome","Sleep apnoea",0.3,0.26,0.35,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the nervous system","1, 2","1, 2",1
"579","Asthma","Abdominal aortic aneurysm",0.12,0.04,0.2,0.04,"0.01","0.01","0.01","Diseases of the respiratory system","Diseases of the circulatory system","2, 3","1, 2",0
"580","Tendon disorders","Spondylolisthesis",0.3,0.16,0.45,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",1
"581","COPD","Coronary Heart Disease",0.3,0.25,0.36,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","2, 3",0
"582","Fibromyalgia","Diabetes type 2",0.3,0.22,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1","2, 3",0
"583","Asthma","Hyperthyroidism (without hypo)",0.12,0.03,0.2,0.04,"0.01","0.01","0.01","Diseases of the respiratory system","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",0
"584","All stroke","Gout",0.3,0.23,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"585","Urinary Incontinence","Transient ischaemic attack",0.3,0.18,0.42,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the circulatory system","1","1, 2",0
"586","Allergic and chronic rhinitis","Enthesopathies of the upper body",0.3,0.21,0.4,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"587","Asthma","Nonrheumatic valve disease",0.12,0.04,0.19,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","2, 3","1, 2",0
"588","COPD","Hypertension",0.3,0.25,0.35,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","1, 2",0
"589","Asthma","Urolithiasis",0.08,0.02,0.14,0.03,"0.01","0.02","0.02","Diseases of the respiratory system","Diseases of the genitourinary system","2, 3","1, 2",0
"590","Atrial fibrillation","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.19,0.09,0.28,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","2, 3","1",0
"591","Gastro-oesophageal reflux disease","Diabetes type 2",0.3,0.26,0.34,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Endocrine, nutritional and metabolic diseases","2, 3","2, 3",0
"592","Gastritis and duodeniti","Scoliosis",0.3,0.17,0.43,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"593","Urinary Incontinence","Carpal tunnel syndrome",0.3,0.23,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the nervous system","1","1, 2",0
"594","Transient ischaemic attack","Depression",0.3,0.22,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","3",0
"595","Transient ischaemic attack","Alcohol Problems",0.3,0.16,0.44,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","1",0
"596","Enthesopathies of the lower body","Hypertension",0.3,0.22,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1, 2",0
"597","Transient ischaemic attack","Obesity",0.3,0.22,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"598","Atrial fibrillation","Peptic ulcer disease",0.14,0.07,0.21,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","2, 3","1, 2",0
"599","Atrial fibrillation","Polymyalgia Rheumatica",0.14,0.03,0.24,0.05,"0.01","0.02","0.02","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"600","Migraine","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.3,0.19,0.4,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the nervous system","1, 2, 3","1",1
"601","Enthesopathies of the upper body","Asthma",0.3,0.23,0.37,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the respiratory system","1","2, 3",0
"602","Depression","Rheumatoid Arthritis",0.3,0.23,0.37,0.04,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","3","3",0
"603","Vitamin B12 deficiency anaemia","Osteoarthritis (excl spine)",0.3,0.2,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","2, 3",0
"604","Abdominal aortic aneurysm","Thromboembolic",0.3,0.18,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1, 2",1
"605","Erectile dysfunction","COPD",0.3,0.2,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the respiratory system","1","1, 2",0
"606","Psoriasis","COPD",0.3,0.22,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Diseases of the respiratory system","1, 2","1, 2",0
"607","Vitamin B12 deficiency anaemia","Diabetes type 2",0.3,0.2,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Endocrine, nutritional and metabolic diseases","1","2, 3",0
"608","Atrial fibrillation","Enthesopathies of the lower body",0.12,0.04,0.2,0.04,"<0.0001","0.01","0.01","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1, 2",0
"609","Urinary Incontinence","Anxiety disorders",0.3,0.21,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Mental and behavioural disorders","1","1, 2",0
"610","Raynaud's syndrome","Peripheral arterial disease",0.3,0.08,0.52,0.11,"0.01","0.01","0.01","Diseases of the circulatory system","Diseases of the circulatory system","1","1",1
"611","Thromboembolic","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.3,0.18,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1",0
"612","Atrial fibrillation","Alcohol Problems",0.12,0.04,0.19,0.04,"<0.0001","0.01","0.01","Diseases of the circulatory system","Mental and behavioural disorders","2, 3","1",0
"613","Insomnia","Asthma",0.3,0.18,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the respiratory system","1","2, 3",0
"614","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Gout",0.3,0.19,0.4,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1, 2, 3",0
"615","Atrial fibrillation","Insomnia",0.11,0.02,0.2,0.05,"0.02","0.03","0.03","Diseases of the circulatory system","Diseases of the nervous system","2, 3","1",0
"616","Transient ischaemic attack","Asthma",0.3,0.21,0.38,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the respiratory system","1, 2","2, 3",0
"617","Rheumatoid Arthritis","Enthesopathies of the lower body",0.3,0.18,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","3","1, 2",1
"618","Coronary Heart Disease","Sleep apnoea",0.29,0.25,0.34,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","2, 3","1, 2",0
"619","Diverticular disease of intestine (acute and chronic)","Sleep apnoea",0.29,0.25,0.34,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the nervous system","1, 2","1, 2",0
"620","Atrial fibrillation","Hyperplasia of prostate",0.11,0.05,0.16,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","2, 3","1, 2",0
"621","Iron deficiency anaemia","Enthesopathies of the shoulder",0.29,0.19,0.4,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"622","Atrial fibrillation","Urinary Incontinence",0.1,0.04,0.16,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","2, 3","1",0
"623","Allergic and chronic rhinitis","Gastro-oesophageal reflux disease",0.29,0.23,0.36,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","1, 2","2, 3",0
"624","Enthesopathies of the lower body","Diabetes type 2",0.29,0.22,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1, 2","2, 3",0
"625","Atrial fibrillation","Female genital prolapse",0.09,0.04,0.14,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","2, 3","1, 2",0
"626","Hypertension","Abdominal aortic aneurysm",0.29,0.22,0.36,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1, 2",1
"627","Atrial fibrillation","Gastritis and duodeniti",0.08,0.01,0.15,0.04,"0.03","0.04","0.04","Diseases of the circulatory system","Diseases of the digestive system","2, 3","1",0
"628","Chronic kidney disease","Obesity",0.29,0.24,0.34,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Endocrine, nutritional and metabolic diseases","1, 3","1, 2",0
"629","Atrial fibrillation","Allergic and chronic rhinitis",0.07,0.01,0.14,0.03,"0.02","0.04","0.04","Diseases of the circulatory system","Diseases of the respiratory system","2, 3","1, 2",0
"630","Migraine","Chronic sinusitis",0.29,0.17,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the respiratory system","1, 2, 3","1",0
"631","Cholelithiasis","Sleep apnoea",0.29,0.22,0.36,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the nervous system","1, 2","1, 2",0
"632","Iron deficiency anaemia","Tendon disorders",0.29,0.17,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"633","Asthma","Sleep apnoea",0.29,0.23,0.35,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the nervous system","2, 3","1, 2",0
"634","Insomnia","Diverticular disease of intestine (acute and chronic)",0.29,0.17,0.41,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","1, 2",0
"635","Atrial fibrillation","Enthesopathies of the upper body",0.07,0.01,0.13,0.03,"0.02","0.03","0.03","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"636","Thromboembolic","Ischaemic stroke and TIA",0.29,0.14,0.44,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1, 2","1",1
"637","Cholelithiasis","Enthesopathies of the lower body",0.29,0.19,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"638","Bursitis","Irritable bowel syndrome",0.46,0.18,0.73,0.14,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","2, 3",0
"639","Intervertebral disc disorders","Hypertension",0.29,0.24,0.33,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1, 2",0
"640","Enthesopathies of the lower body","Thromboembolic",0.29,0.17,0.4,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2","1, 2",0
"641","Diverticular disease of intestine (acute and chronic)","Anxiety disorders",0.29,0.24,0.34,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Mental and behavioural disorders","1, 2","1, 2",0
"642","Diabetes type 2","All stroke",0.29,0.23,0.35,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","2, 3","1, 2",0
"643","Bursitis","Peripheral arterial disease",0.36,0.16,0.56,0.1,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1",0
"644","Bursitis","Peptic ulcer disease",0.35,0.17,0.53,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1, 2",0
"645","Erectile dysfunction","Osteoarthritis (excl spine)",0.29,0.18,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","2, 3",0
"646","Abdominal aortic aneurysm","Sleep apnoea",0.29,0.19,0.38,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the nervous system","1, 2","1, 2",0
"647","Gastritis and duodeniti","All stroke",0.29,0.19,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the circulatory system","1","1, 2",0
"648","Female genital prolapse","Diverticular disease of intestine (acute and chronic)",0.29,0.24,0.33,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the digestive system","1, 2","1, 2",0
"649","Diabetes type 2","Spondylosis",0.29,0.23,0.34,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"650","Heart failure","Cholelithiasis",0.29,0.22,0.35,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","2, 3","1, 2",0
"651","Bursitis","All stroke",0.33,0.16,0.51,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1, 2",0
"652","Bursitis","Transient ischaemic attack",0.31,0.1,0.52,0.11,"<0.0001","0.01","0.01","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1, 2",0
"653","Bursitis","Ischaemic stroke and TIA",0.3,0.07,0.53,0.12,"0.01","0.02","0.02","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1",0
"654","Migraine","Enthesopathies of the upper body",0.28,0.22,0.35,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","1",0
"655","Thromboembolic","Spondylosis",0.28,0.19,0.38,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"656","Transient ischaemic attack","Intervertebral disc disorders",0.28,0.2,0.37,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"657","Bursitis","Female genital prolapse",0.28,0.15,0.42,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1","1, 2",0
"658","Insomnia","Carpal tunnel syndrome",0.28,0.17,0.4,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the nervous system","1","1, 2",1
"659","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)","Diverticular disease of intestine (acute and chronic)",0.28,0.2,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","1, 2",0
"660","Spondylolisthesis","Obesity",0.28,0.19,0.38,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1","1, 2",0
"661","Sleep apnoea","Spondylolisthesis",0.28,0.17,0.4,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"662","Urinary Incontinence","All stroke",0.28,0.18,0.39,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the circulatory system","1","1, 2",0
"663","Urinary Incontinence","Rheumatoid Arthritis",0.28,0.19,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1","3",0
"664","Asthma","Rheumatoid Arthritis",0.28,0.21,0.35,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","2, 3","3",0
"665","Fibromyalgia","Coronary Heart Disease",0.28,0.19,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","2, 3",0
"666","Diverticular disease of intestine (acute and chronic)","Depression",0.28,0.24,0.32,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Mental and behavioural disorders","1, 2","3",0
"667","Irritable bowel syndrome","Ulcerative colitis",0.28,0.15,0.41,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","2, 3","1, 2, 3",1
"668","Abdominal aortic aneurysm","Peptic ulcer disease",0.28,0.15,0.41,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","1, 2","1, 2",0
"669","Bursitis","Nonrheumatic valve disease",0.28,0.12,0.45,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1, 2",0
"670","Iron deficiency anaemia","Asthma",0.28,0.21,0.36,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the respiratory system","1","2, 3",0
"671","Rheumatoid Arthritis","Spondylolisthesis",0.28,0.13,0.44,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","3","1",1
"672","Bursitis","Alcohol Problems",0.27,0.09,0.46,0.09,"<0.0001","0.01","0.01","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1","1",0
"673","Coronary Heart Disease","Abdominal aortic aneurysm",0.28,0.19,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"674","Alcohol Problems","Intervertebral disc disorders",0.28,0.19,0.37,0.05,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","1","1, 2",0
"675","Rheumatoid Arthritis","All stroke",0.28,0.17,0.39,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","3","1, 2",0
"676","Bursitis","Migraine",0.24,0.12,0.37,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the nervous system","1","1, 2, 3",0
"677","Bursitis","Anxiety disorders",0.24,0.12,0.36,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1","1, 2",0
"678","Intervertebral disc disorders","Rheumatoid Arthritis",0.28,0.2,0.36,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","3",1
"679","Bursitis","Gout",0.28,0.15,0.4,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2, 3",1
"680","Bursitis","Diverticular disease of intestine (acute and chronic)",0.23,0.12,0.35,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1","1, 2",0
"681","Alcohol Problems","Heart failure",0.28,0.18,0.37,0.05,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1","2, 3",0
"682","Ischaemic stroke and TIA","Abdominal aortic aneurysm",0.28,0.12,0.44,0.08,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","1","1, 2",1
"683","Iron deficiency anaemia","Migraine",0.28,0.18,0.37,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","Diseases of the nervous system","1","1, 2, 3",0
"684","Cholelithiasis","Diverticular disease of intestine (acute and chronic)",0.28,0.23,0.32,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the digestive system","1, 2","1, 2",1
"685","Bursitis","Depression",0.21,0.09,0.33,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Mental and behavioural disorders","1","3",0
"686","Rheumatoid Arthritis","Hypertension",0.27,0.22,0.33,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","3","1, 2",0
"687","COPD","Thromboembolic",0.27,0.21,0.34,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","1, 2",0
